Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	107	44.76987447698745	1.7016308863140716E-24	ENSG00000042493, ENSG00000102241, ENSG00000177885, ENSG00000160888, ENSG00000162704, ENSG00000197894, ENSG00000135046, ENSG00000171148, ENSG00000134996, ENSG00000177889, ENSG00000142541, ENSG00000034510, ENSG00000082153, ENSG00000117054, ENSG00000117450, ENSG00000100348, ENSG00000130429, ENSG00000156261, ENSG00000142669, ENSG00000124831, ENSG00000163527, ENSG00000075624, ENSG00000113648, ENSG00000111348, ENSG00000072110, ENSG00000111229, ENSG00000183918, ENSG00000117448, ENSG00000169756, ENSG00000102879, ENSG00000180817, ENSG00000086061, ENSG00000145247, ENSG00000104325, ENSG00000113712, ENSG00000172531, ENSG00000155959, ENSG00000167460, ENSG00000065357, ENSG00000110321, ENSG00000115216, ENSG00000064666, ENSG00000205581, ENSG00000159593, ENSG00000100129, ENSG00000079246, ENSG00000184009, ENSG00000140740, ENSG00000131236, ENSG00000211450, ENSG00000071127, ENSG00000108518, ENSG00000128340, ENSG00000092841, ENSG00000142507, ENSG00000110031, ENSG00000112695, ENSG00000071082, ENSG00000168288, ENSG00000182054, ENSG00000125354, ENSG00000141027, ENSG00000273841, ENSG00000130755, ENSG00000156508, ENSG00000139726, ENSG00000117139, ENSG00000139687, ENSG00000100938, ENSG00000167004, ENSG00000168610, ENSG00000085224, ENSG00000163041, ENSG00000146386, ENSG00000109475, ENSG00000138071, ENSG00000082074, ENSG00000196591, ENSG00000109107, ENSG00000147065, ENSG00000138801, ENSG00000198805, ENSG00000143549, ENSG00000164305, ENSG00000148834, ENSG00000162521, ENSG00000180353, ENSG00000026025, ENSG00000205542, ENSG00000169564, ENSG00000089006, ENSG00000115091, ENSG00000127603, ENSG00000163466, ENSG00000091317, ENSG00000160752, ENSG00000111726, ENSG00000077549, ENSG00000131558, ENSG00000067225, ENSG00000008988, ENSG00000136167, ENSG00000113068, ENSG00000136286, ENSG00000168003, ENSG00000031698, ENSG00000163875	238	3424	20581	2.70233718487395	4.322142451237742E-22	4.339158760100882E-22	4.186011980332616E-22
GOTERM_BP_DIRECT	GO:0006928~movement of cell or subcellular component	17	7.112970711297072	1.512551107763844E-14	ENSG00000077549, ENSG00000075624, ENSG00000111348, ENSG00000147065, ENSG00000162704, ENSG00000111229, ENSG00000167460, ENSG00000026025, ENSG00000168610, ENSG00000167642, ENSG00000143549, ENSG00000102879, ENSG00000130429, ENSG00000115091, ENSG00000138071, ENSG00000163466, ENSG00000184009	218	86	16792	15.226370812886708	1.956834694283316E-11	1.9602662356619415E-11	1.9421156223687756E-11
UP_KEYWORDS	Actin-binding	21	8.786610878661087	6.527858851443255E-11	ENSG00000042493, ENSG00000131236, ENSG00000077549, ENSG00000071127, ENSG00000108518, ENSG00000162704, ENSG00000072110, ENSG00000111229, ENSG00000167460, ENSG00000136167, ENSG00000205542, ENSG00000064666, ENSG00000034510, ENSG00000136286, ENSG00000143549, ENSG00000102879, ENSG00000130429, ENSG00000115091, ENSG00000127603, ENSG00000138071, ENSG00000163466	238	274	20581	6.6276298840704175	1.658075421406835E-8	8.043257350749159E-9	7.759377679546247E-9
UP_KEYWORDS	Cytoplasm	101	42.25941422594142	9.462655706763716E-11	ENSG00000042493, ENSG00000177885, ENSG00000160888, ENSG00000179144, ENSG00000162704, ENSG00000043462, ENSG00000197894, ENSG00000180096, ENSG00000135046, ENSG00000152465, ENSG00000134996, ENSG00000177889, ENSG00000142541, ENSG00000128918, ENSG00000034510, ENSG00000145779, ENSG00000117450, ENSG00000141293, ENSG00000100347, ENSG00000130429, ENSG00000156261, ENSG00000106560, ENSG00000142669, ENSG00000124831, ENSG00000110934, ENSG00000075624, ENSG00000111348, ENSG00000072110, ENSG00000111229, ENSG00000136827, ENSG00000048740, ENSG00000183918, ENSG00000102879, ENSG00000180817, ENSG00000086061, ENSG00000127314, ENSG00000135426, ENSG00000113712, ENSG00000172531, ENSG00000155959, ENSG00000167460, ENSG00000120727, ENSG00000115216, ENSG00000205581, ENSG00000256618, ENSG00000100129, ENSG00000140105, ENSG00000184009, ENSG00000143851, ENSG00000132963, ENSG00000126561, ENSG00000071127, ENSG00000108518, ENSG00000128340, ENSG00000110711, ENSG00000142507, ENSG00000123609, ENSG00000110031, ENSG00000172936, ENSG00000168288, ENSG00000213190, ENSG00000125354, ENSG00000269028, ENSG00000156508, ENSG00000168610, ENSG00000148444, ENSG00000138071, ENSG00000082074, ENSG00000182866, ENSG00000196591, ENSG00000147065, ENSG00000132824, ENSG00000155926, ENSG00000173933, ENSG00000133112, ENSG00000198805, ENSG00000113282, ENSG00000183283, ENSG00000143549, ENSG00000164305, ENSG00000148834, ENSG00000180353, ENSG00000026025, ENSG00000205542, ENSG00000169564, ENSG00000089006, ENSG00000115091, ENSG00000127603, ENSG00000163466, ENSG00000164039, ENSG00000160752, ENSG00000077549, ENSG00000198791, ENSG00000129197, ENSG00000067225, ENSG00000075884, ENSG00000155508, ENSG00000008988, ENSG00000136167, ENSG00000172349, ENSG00000031698	238	4816	20581	1.8135286091180658	2.4035137990985334E-8	8.043257350749159E-9	7.759377679546247E-9
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	15	6.2761506276150625	2.0171154528929306E-9	ENSG00000077549, ENSG00000071127, ENSG00000162704, ENSG00000198771, ENSG00000072110, ENSG00000111229, ENSG00000167460, ENSG00000136167, ENSG00000143549, ENSG00000102879, ENSG00000130429, ENSG00000115091, ENSG00000127603, ENSG00000138071, ENSG00000163466	222	132	16881	8.640970515970517	8.209656620072892E-7	8.209659893274227E-7	8.048290657042793E-7
UP_KEYWORDS	Phosphoprotein	137	57.32217573221757	4.699009438485483E-8	ENSG00000042493, ENSG00000102241, ENSG00000177885, ENSG00000163519, ENSG00000043462, ENSG00000197894, ENSG00000180096, ENSG00000135046, ENSG00000067955, ENSG00000138795, ENSG00000171148, ENSG00000152465, ENSG00000134996, ENSG00000142541, ENSG00000128918, ENSG00000034510, ENSG00000082153, ENSG00000117054, ENSG00000117450, ENSG00000141293, ENSG00000169189, ENSG00000167286, ENSG00000130429, ENSG00000156261, ENSG00000124831, ENSG00000163527, ENSG00000160654, ENSG00000110934, ENSG00000113648, ENSG00000111348, ENSG00000072110, ENSG00000111229, ENSG00000198851, ENSG00000118680, ENSG00000213658, ENSG00000117448, ENSG00000102879, ENSG00000180817, ENSG00000086061, ENSG00000127314, ENSG00000135426, ENSG00000110848, ENSG00000104325, ENSG00000198125, ENSG00000113712, ENSG00000213402, ENSG00000172531, ENSG00000167460, ENSG00000110321, ENSG00000115216, ENSG00000064666, ENSG00000205581, ENSG00000111371, ENSG00000100129, ENSG00000079246, ENSG00000159110, ENSG00000140105, ENSG00000143851, ENSG00000066294, ENSG00000131236, ENSG00000129675, ENSG00000101161, ENSG00000126561, ENSG00000071127, ENSG00000108518, ENSG00000092841, ENSG00000110711, ENSG00000149781, ENSG00000142507, ENSG00000178927, ENSG00000123609, ENSG00000110031, ENSG00000177954, ENSG00000071082, ENSG00000101608, ENSG00000172936, ENSG00000213190, ENSG00000122122, ENSG00000125354, ENSG00000141027, ENSG00000273841, ENSG00000134717, ENSG00000005302, ENSG00000156508, ENSG00000139726, ENSG00000117139, ENSG00000139687, ENSG00000099341, ENSG00000167004, ENSG00000168610, ENSG00000198818, ENSG00000085224, ENSG00000257727, ENSG00000163041, ENSG00000100664, ENSG00000109475, ENSG00000072818, ENSG00000082074, ENSG00000162511, ENSG00000182866, ENSG00000196591, ENSG00000109107, ENSG00000147065, ENSG00000198771, ENSG00000155926, ENSG00000173933, ENSG00000133112, ENSG00000198805, ENSG00000113282, ENSG00000143549, ENSG00000164305, ENSG00000148834, ENSG00000162521, ENSG00000180353, ENSG00000026025, ENSG00000081237, ENSG00000205542, ENSG00000169564, ENSG00000089006, ENSG00000127603, ENSG00000091317, ENSG00000144224, ENSG00000077549, ENSG00000129197, ENSG00000152193, ENSG00000131558, ENSG00000178562, ENSG00000067225, ENSG00000075884, ENSG00000008988, ENSG00000136167, ENSG00000172349, ENSG00000139436, ENSG00000168003, ENSG00000147168, ENSG00000031698, ENSG00000163875	238	8246	20581	1.4367021851185295	1.1935413023134167E-5	2.9956185170344953E-6	2.889890804668572E-6
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	19	7.949790794979079	5.306695525193126E-8	ENSG00000042493, ENSG00000077549, ENSG00000108518, ENSG00000067225, ENSG00000142507, ENSG00000135046, ENSG00000110321, ENSG00000064666, ENSG00000113282, ENSG00000082153, ENSG00000117450, ENSG00000169564, ENSG00000168003, ENSG00000089006, ENSG00000100664, ENSG00000156261, ENSG00000109475, ENSG00000124831, ENSG00000127603	222	290	16881	4.981966449207828	2.159801812928741E-5	1.079912539376801E-5	1.0586857572760287E-5
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	14	5.857740585774058	6.436182837756117E-8	ENSG00000182866, ENSG00000163519, ENSG00000178562, ENSG00000198851, ENSG00000043462, ENSG00000142507, ENSG00000213658, ENSG00000081237, ENSG00000177889, ENSG00000099341, ENSG00000141293, ENSG00000167286, ENSG00000082074, ENSG00000160654	218	148	16792	7.286387304735929	8.340945355778118E-5	3.8672840484020684E-5	3.831475862768716E-5
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	18	7.531380753138076	8.952046408338121E-8	ENSG00000042493, ENSG00000077549, ENSG00000108518, ENSG00000067225, ENSG00000142507, ENSG00000110321, ENSG00000064666, ENSG00000113282, ENSG00000082153, ENSG00000117450, ENSG00000169564, ENSG00000168003, ENSG00000089006, ENSG00000100664, ENSG00000156261, ENSG00000109475, ENSG00000124831, ENSG00000127603	218	271	16792	5.116219235586851	1.160117967019536E-4	3.8672840484020684E-5	3.831475862768716E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	150	62.76150627615063	2.1985511802699116E-6	ENSG00000042493, ENSG00000177885, ENSG00000114902, ENSG00000179144, ENSG00000162704, ENSG00000043462, ENSG00000180096, ENSG00000135046, ENSG00000067955, ENSG00000138795, ENSG00000171148, ENSG00000134996, ENSG00000139644, ENSG00000137500, ENSG00000177889, ENSG00000034510, ENSG00000145779, ENSG00000117450, ENSG00000143119, ENSG00000141293, ENSG00000100347, ENSG00000169189, ENSG00000100348, ENSG00000156261, ENSG00000124831, ENSG00000102245, ENSG00000110934, ENSG00000075624, ENSG00000113648, ENSG00000111348, ENSG00000072110, ENSG00000129055, ENSG00000111229, ENSG00000198851, ENSG00000136827, ENSG00000183918, ENSG00000118680, ENSG00000213658, ENSG00000117448, ENSG00000169756, ENSG00000102879, ENSG00000145649, ENSG00000106153, ENSG00000086061, ENSG00000127314, ENSG00000110848, ENSG00000113712, ENSG00000172531, ENSG00000155959, ENSG00000068745, ENSG00000167460, ENSG00000110321, ENSG00000120727, ENSG00000155957, ENSG00000115216, ENSG00000170348, ENSG00000111371, ENSG00000159593, ENSG00000100129, ENSG00000079246, ENSG00000159110, ENSG00000140105, ENSG00000184009, ENSG00000147533, ENSG00000143851, ENSG00000140740, ENSG00000066294, ENSG00000132963, ENSG00000129675, ENSG00000132965, ENSG00000101161, ENSG00000126561, ENSG00000108518, ENSG00000092841, ENSG00000110711, ENSG00000116815, ENSG00000178927, ENSG00000123609, ENSG00000110031, ENSG00000177954, ENSG00000071082, ENSG00000101608, ENSG00000172936, ENSG00000085117, ENSG00000168288, ENSG00000125354, ENSG00000141027, ENSG00000273841, ENSG00000134717, ENSG00000156508, ENSG00000139726, ENSG00000117139, ENSG00000139687, ENSG00000140287, ENSG00000167004, ENSG00000168610, ENSG00000085224, ENSG00000257727, ENSG00000163041, ENSG00000148444, ENSG00000100664, ENSG00000072818, ENSG00000126773, ENSG00000082074, ENSG00000162511, ENSG00000182866, ENSG00000196591, ENSG00000109107, ENSG00000147065, ENSG00000155926, ENSG00000135535, ENSG00000173933, ENSG00000133112, ENSG00000133872, ENSG00000113282, ENSG00000183283, ENSG00000143549, ENSG00000164305, ENSG00000124766, ENSG00000148834, ENSG00000162521, ENSG00000109861, ENSG00000180353, ENSG00000026025, ENSG00000081237, ENSG00000205542, ENSG00000136156, ENSG00000078596, ENSG00000169564, ENSG00000089006, ENSG00000188404, ENSG00000115091, ENSG00000127603, ENSG00000163466, ENSG00000144224, ENSG00000198791, ENSG00000152193, ENSG00000131558, ENSG00000178562, ENSG00000067225, ENSG00000155508, ENSG00000008988, ENSG00000244038, ENSG00000139436, ENSG00000136161, ENSG00000158050, ENSG00000168003, ENSG00000009790, ENSG00000147168, ENSG00000163875	222	8785	16881	1.2983586887969358	8.9441108973487E-4	2.982701101232847E-4	2.9240730697589827E-4
