Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	161	65.4471544715447	6.819229127570436E-10	ENSG00000214114, ENSG00000130830, ENSG00000177885, ENSG00000023330, ENSG00000182718, ENSG00000175463, ENSG00000113812, ENSG00000043462, ENSG00000039123, ENSG00000117616, ENSG00000135046, ENSG00000180370, ENSG00000114742, ENSG00000174652, ENSG00000138795, ENSG00000151893, ENSG00000086758, ENSG00000143119, ENSG00000141293, ENSG00000164054, ENSG00000108061, ENSG00000100345, ENSG00000160410, ENSG00000107651, ENSG00000102245, ENSG00000015676, ENSG00000102471, ENSG00000131018, ENSG00000160818, ENSG00000072110, ENSG00000204264, ENSG00000134882, ENSG00000213658, ENSG00000131373, ENSG00000178988, ENSG00000169756, ENSG00000168303, ENSG00000168421, ENSG00000166128, ENSG00000164347, ENSG00000071994, ENSG00000110848, ENSG00000111897, ENSG00000197157, ENSG00000196465, ENSG00000110442, ENSG00000026103, ENSG00000096093, ENSG00000135148, ENSG00000166135, ENSG00000168036, ENSG00000182220, ENSG00000089289, ENSG00000120690, ENSG00000023191, ENSG00000180304, ENSG00000066294, ENSG00000179455, ENSG00000126561, ENSG00000162739, ENSG00000173230, ENSG00000112851, ENSG00000111642, ENSG00000058272, ENSG00000170876, ENSG00000113263, ENSG00000055163, ENSG00000143569, ENSG00000161011, ENSG00000131507, ENSG00000054116, ENSG00000120860, ENSG00000136738, ENSG00000163719, ENSG00000258890, ENSG00000024862, ENSG00000174574, ENSG00000099622, ENSG00000172673, ENSG00000133104, ENSG00000132254, ENSG00000178538, ENSG00000163320, ENSG00000170889, ENSG00000188186, ENSG00000118515, ENSG00000107290, ENSG00000139163, ENSG00000124356, ENSG00000101236, ENSG00000182400, ENSG00000084093, ENSG00000155366, ENSG00000134602, ENSG00000109107, ENSG00000064012, ENSG00000104613, ENSG00000094841, ENSG00000113845, ENSG00000138802, ENSG00000197965, ENSG00000154832, ENSG00000197448, ENSG00000097033, ENSG00000163297, ENSG00000121931, ENSG00000060971, ENSG00000100934, ENSG00000126945, ENSG00000127914, ENSG00000102316, ENSG00000125457, ENSG00000101343, ENSG00000122068, ENSG00000103671, ENSG00000137806, ENSG00000154144, ENSG00000114209, ENSG00000113638, ENSG00000175324, ENSG00000008517, ENSG00000177105, ENSG00000158985, ENSG00000134014, ENSG00000155876, ENSG00000166333, ENSG00000113194, ENSG00000186184, ENSG00000169564, ENSG00000087502, ENSG00000106261, ENSG00000100201, ENSG00000105053, ENSG00000166974, ENSG00000073969, ENSG00000108443, ENSG00000147457, ENSG00000121067, ENSG00000104872, ENSG00000182923, ENSG00000136603, ENSG00000165806, ENSG00000198399, ENSG00000177879, ENSG00000172466, ENSG00000171135, ENSG00000173674, ENSG00000174405, ENSG00000115762, ENSG00000136161, ENSG00000168765, ENSG00000158050, ENSG00000078070, ENSG00000164161, ENSG00000136560, ENSG00000115085, ENSG00000126804, ENSG00000145781, ENSG00000164209, ENSG00000146112, ENSG00000168769	223	8785	16881	1.3873224590427526	2.604945378292811E-7	2.6117647558594773E-7	2.6117647558594773E-7
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	10	4.0650406504065035	1.5695495222831503E-4	ENSG00000066294, ENSG00000113263, ENSG00000115085, ENSG00000163519, ENSG00000141293, ENSG00000135046, ENSG00000213658, ENSG00000172673, ENSG00000169508, ENSG00000204592	223	148	16792	5.087868137195492	0.17854653582745406	0.19650760018985042	0.19650760018985042
GOTERM_MF_DIRECT	GO:0004871~signal transducer activity	11	4.471544715447155	3.783658465597254E-4	ENSG00000166333, ENSG00000102471, ENSG00000155366, ENSG00000135899, ENSG00000126561, ENSG00000168036, ENSG00000164054, ENSG00000175348, ENSG00000131507, ENSG00000026103, ENSG00000058272	223	204	16881	4.081838565022421	0.13459969952444517	0.07245705961618741	0.07245705961618741
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	9	3.6585365853658534	7.949630178529936E-4	ENSG00000113263, ENSG00000115085, ENSG00000163519, ENSG00000141293, ENSG00000043462, ENSG00000204264, ENSG00000180370, ENSG00000213658, ENSG00000172673	223	148	16792	4.579081323475942	0.6308251127933818	0.497646849175974	0.497646849175974
GOTERM_BP_DIRECT	GO:0048208~COPII vesicle coating	6	2.4390243902439024	0.0012585168730597045	ENSG00000100934, ENSG00000054116, ENSG00000138802, ENSG00000182400, ENSG00000107651, ENSG00000073969	223	61	16792	7.406601484966552	0.793594947502718	0.52522104169025	0.52522104169025
GOTERM_BP_DIRECT	GO:0051291~protein heterooligomerization	6	2.4390243902439024	0.0019165616952456857	ENSG00000169756, ENSG00000166333, ENSG00000177885, ENSG00000078070, ENSG00000161011, ENSG00000064012	223	67	16792	6.743323740044174	0.909622145504614	0.5998838106118997	0.5998838106118997
GOTERM_BP_DIRECT	GO:0050869~negative regulation of B cell activation	3	1.2195121951219512	0.0034976324448244478	ENSG00000175463, ENSG00000026103, ENSG00000155307	223	7	16792	32.27162075592569	0.9876019443008118	0.8758071641840417	0.8758071641840417
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	13	5.284552845528456	0.004234977774178892	ENSG00000104872, ENSG00000177885, ENSG00000114209, ENSG00000180370, ENSG00000213658, ENSG00000151893, ENSG00000058272, ENSG00000169756, ENSG00000166333, ENSG00000161011, ENSG00000168036, ENSG00000141293, ENSG00000073969	223	376	16881	2.617271729796775	0.8023380052214134	0.5406654958368385	0.5406654958368385
GOTERM_MF_DIRECT	GO:0005070~SH3/SH2 adaptor activity	5	2.0325203252032518	0.006266594460613897	ENSG00000136738, ENSG00000177885, ENSG00000141293, ENSG00000198399, ENSG00000213658	223	56	16881	6.758888532991672	0.909406351827446	0.5638830584609734	0.5638830584609734
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	26	10.569105691056912	0.0073613976300388176	ENSG00000177885, ENSG00000103994, ENSG00000099622, ENSG00000182718, ENSG00000039123, ENSG00000197157, ENSG00000175324, ENSG00000075292, ENSG00000086758, ENSG00000170889, ENSG00000169564, ENSG00000100345, ENSG00000100201, ENSG00000085760, ENSG00000107651, ENSG00000121486, ENSG00000132424, ENSG00000131018, ENSG00000160818, ENSG00000173230, ENSG00000155307, ENSG00000173674, ENSG00000143569, ENSG00000126945, ENSG00000101343, ENSG00000122068	223	1129	16881	1.743302339067471	0.9405402279713544	0.5638830584609734	0.5638830584609734
