Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell cycle	69	27.710843373493976	8.650734412109557E-45	ENSG00000104147, ENSG00000108106, ENSG00000040275, ENSG00000020426, ENSG00000064961, ENSG00000114346, ENSG00000152942, ENSG00000198901, ENSG00000158402, ENSG00000004897, ENSG00000117697, ENSG00000013810, ENSG00000117650, ENSG00000137100, ENSG00000184661, ENSG00000138592, ENSG00000142945, ENSG00000164611, ENSG00000165304, ENSG00000152253, ENSG00000136108, ENSG00000066279, ENSG00000111665, ENSG00000117724, ENSG00000169679, ENSG00000143228, ENSG00000186871, ENSG00000138160, ENSG00000082146, ENSG00000088325, ENSG00000163535, ENSG00000126787, ENSG00000129810, ENSG00000183765, ENSG00000137807, ENSG00000137804, ENSG00000171320, ENSG00000080986, ENSG00000137601, ENSG00000138778, ENSG00000134057, ENSG00000170312, ENSG00000157456, ENSG00000178999, ENSG00000117399, ENSG00000166851, ENSG00000134690, ENSG00000100526, ENSG00000087586, ENSG00000161800, ENSG00000123485, ENSG00000214367, ENSG00000174442, ENSG00000109805, ENSG00000129195, ENSG00000010292, ENSG00000175216, ENSG00000152359, ENSG00000137812, ENSG00000158411, ENSG00000136122, ENSG00000011426, ENSG00000123975, ENSG00000138182, ENSG00000101447, ENSG00000147400, ENSG00000128944, ENSG00000148773, ENSG00000164885	247	650	20581	8.845151043288697	2.3616504945059093E-42	2.3616504945059093E-42	2.171334337439499E-42
UP_KEYWORDS	Cell division	56	22.48995983935743	4.2172409849357156E-43	ENSG00000104147, ENSG00000108106, ENSG00000040275, ENSG00000114346, ENSG00000198901, ENSG00000158402, ENSG00000004897, ENSG00000117697, ENSG00000013810, ENSG00000117650, ENSG00000137100, ENSG00000184661, ENSG00000142945, ENSG00000164611, ENSG00000152253, ENSG00000066279, ENSG00000111665, ENSG00000117724, ENSG00000169679, ENSG00000143228, ENSG00000186871, ENSG00000138160, ENSG00000088325, ENSG00000163535, ENSG00000129810, ENSG00000183765, ENSG00000137807, ENSG00000137804, ENSG00000080986, ENSG00000137601, ENSG00000138778, ENSG00000134057, ENSG00000170312, ENSG00000157456, ENSG00000178999, ENSG00000117399, ENSG00000166851, ENSG00000134690, ENSG00000087586, ENSG00000161800, ENSG00000214367, ENSG00000174442, ENSG00000109805, ENSG00000129195, ENSG00000010292, ENSG00000175216, ENSG00000137812, ENSG00000158411, ENSG00000136122, ENSG00000011426, ENSG00000123975, ENSG00000138182, ENSG00000101447, ENSG00000147400, ENSG00000128944, ENSG00000164885	247	388	20581	12.026127968613046	1.1513067888874503E-40	5.756533944437251E-41	5.292637436094323E-41
UP_KEYWORDS	Mitosis	47	18.87550200803213	2.4408229898283178E-40	ENSG00000137807, ENSG00000104147, ENSG00000040275, ENSG00000137804, ENSG00000080986, ENSG00000137601, ENSG00000138778, ENSG00000134057, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000178999, ENSG00000117697, ENSG00000117399, ENSG00000013810, ENSG00000117650, ENSG00000166851, ENSG00000134690, ENSG00000137100, ENSG00000184661, ENSG00000142945, ENSG00000087586, ENSG00000164611, ENSG00000152253, ENSG00000214367, ENSG00000174442, ENSG00000109805, ENSG00000129195, ENSG00000066279, ENSG00000175216, ENSG00000010292, ENSG00000111665, ENSG00000117724, ENSG00000137812, ENSG00000136122, ENSG00000169679, ENSG00000143228, ENSG00000011426, ENSG00000186871, ENSG00000138182, ENSG00000138160, ENSG00000101447, ENSG00000088325, ENSG00000147400, ENSG00000128944, ENSG00000129810, ENSG00000183765	247	262	20581	14.947414778873195	6.663446762231307E-38	2.2211489207437693E-38	2.042155234823026E-38
GOTERM_BP_DIRECT	GO:0051301~cell division	48	19.27710843373494	3.5397000508643056E-33	ENSG00000104147, ENSG00000108106, ENSG00000040275, ENSG00000118193, ENSG00000080986, ENSG00000137601, ENSG00000138778, ENSG00000134057, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000004897, ENSG00000117697, ENSG00000117399, ENSG00000013810, ENSG00000117650, ENSG00000134690, ENSG00000184661, ENSG00000142945, ENSG00000087586, ENSG00000164611, ENSG00000152253, ENSG00000214367, ENSG00000174442, ENSG00000109805, ENSG00000129195, ENSG00000175216, ENSG00000010292, ENSG00000111665, ENSG00000117724, ENSG00000137812, ENSG00000136122, ENSG00000169679, ENSG00000167553, ENSG00000143228, ENSG00000123975, ENSG00000186871, ENSG00000138182, ENSG00000138160, ENSG00000167552, ENSG00000101447, ENSG00000088325, ENSG00000163535, ENSG00000147400, ENSG00000128944, ENSG00000129810, ENSG00000164885, ENSG00000183765	231	350	16792	9.969276437847867	3.999861057476665E-30	3.999861057476665E-30	3.9007494560524645E-30
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	40	16.06425702811245	3.305292809040971E-30	ENSG00000104147, ENSG00000080986, ENSG00000137601, ENSG00000175203, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000178999, ENSG00000117697, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000137100, ENSG00000184661, ENSG00000168078, ENSG00000142945, ENSG00000087586, ENSG00000164611, ENSG00000152253, ENSG00000214367, ENSG00000174442, ENSG00000129195, ENSG00000066279, ENSG00000175216, ENSG00000111665, ENSG00000117724, ENSG00000137812, ENSG00000136122, ENSG00000169679, ENSG00000204843, ENSG00000143228, ENSG00000011426, ENSG00000186871, ENSG00000138182, ENSG00000138160, ENSG00000101447, ENSG00000258947, ENSG00000088325, ENSG00000147400, ENSG00000129810	231	248	16792	11.72461946655495	3.734980874216297E-27	1.8674904371081486E-27	1.821216337781575E-27
UP_KEYWORDS	Cytoskeleton	66	26.506024096385545	5.226194761277154E-27	ENSG00000070087, ENSG00000040275, ENSG00000118193, ENSG00000154240, ENSG00000152503, ENSG00000170296, ENSG00000198668, ENSG00000114346, ENSG00000198901, ENSG00000137267, ENSG00000013810, ENSG00000117650, ENSG00000137100, ENSG00000188229, ENSG00000142945, ENSG00000183137, ENSG00000090889, ENSG00000156973, ENSG00000136108, ENSG00000066279, ENSG00000117724, ENSG00000138160, ENSG00000088325, ENSG00000126787, ENSG00000129810, ENSG00000123473, ENSG00000137807, ENSG00000113838, ENSG00000137804, ENSG00000137601, ENSG00000138778, ENSG00000134057, ENSG00000175203, ENSG00000112984, ENSG00000114446, ENSG00000170312, ENSG00000178999, ENSG00000204899, ENSG00000117399, ENSG00000121621, ENSG00000166851, ENSG00000134690, ENSG00000087586, ENSG00000169607, ENSG00000161800, ENSG00000184009, ENSG00000148700, ENSG00000214367, ENSG00000175216, ENSG00000152359, ENSG00000241685, ENSG00000137575, ENSG00000174007, ENSG00000204843, ENSG00000167553, ENSG00000011426, ENSG00000138182, ENSG00000167552, ENSG00000121957, ENSG00000085433, ENSG00000258947, ENSG00000101447, ENSG00000112290, ENSG00000147400, ENSG00000128944, ENSG00000148019	247	1138	20581	4.832492546765048	1.426751169828663E-24	3.5668779245716577E-25	3.279437212701414E-25
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	24	9.63855421686747	8.316046650115092E-19	ENSG00000214367, ENSG00000123240, ENSG00000175216, ENSG00000020426, ENSG00000134057, ENSG00000198668, ENSG00000175203, ENSG00000072571, ENSG00000136122, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000204843, ENSG00000117650, ENSG00000166851, ENSG00000137100, ENSG00000167552, ENSG00000088325, ENSG00000147400, ENSG00000188229, ENSG00000087586, ENSG00000148019, ENSG00000183765, ENSG00000165304	231	137	16792	12.734477201630488	9.397132714630055E-16	3.1323775715433515E-16	3.054761136142277E-16
UP_KEYWORDS	Centromere	23	9.236947791164658	8.383918841144085E-19	ENSG00000152253, ENSG00000104147, ENSG00000174442, ENSG00000040275, ENSG00000175216, ENSG00000080986, ENSG00000138778, ENSG00000117724, ENSG00000137812, ENSG00000178999, ENSG00000117697, ENSG00000169679, ENSG00000117650, ENSG00000166851, ENSG00000143228, ENSG00000186871, ENSG00000134690, ENSG00000137100, ENSG00000163535, ENSG00000142945, ENSG00000128944, ENSG00000129810, ENSG00000123485	247	137	20581	13.988681698631758	2.288809843632335E-16	4.5776196872646707E-17	4.2087272582543306E-17
UP_KEYWORDS	Chromosome	33	13.253012048192772	1.50671712575619E-17	ENSG00000127483, ENSG00000104147, ENSG00000040275, ENSG00000137804, ENSG00000171320, ENSG00000080986, ENSG00000138778, ENSG00000064961, ENSG00000178999, ENSG00000117697, ENSG00000117650, ENSG00000166851, ENSG00000134690, ENSG00000137100, ENSG00000142945, ENSG00000090889, ENSG00000123485, ENSG00000152253, ENSG00000174442, ENSG00000109805, ENSG00000175216, ENSG00000105968, ENSG00000189060, ENSG00000010292, ENSG00000117724, ENSG00000137812, ENSG00000169679, ENSG00000143228, ENSG00000186871, ENSG00000163535, ENSG00000148773, ENSG00000128944, ENSG00000129810	247	400	20581	6.87422064777328	4.113337753314399E-15	6.855562922190664E-16	6.303099976080062E-16
UP_KEYWORDS	Microtubule	28	11.244979919678714	5.563909323808123E-17	ENSG00000137807, ENSG00000137804, ENSG00000118193, ENSG00000170296, ENSG00000138778, ENSG00000175203, ENSG00000112984, ENSG00000198901, ENSG00000137267, ENSG00000117650, ENSG00000121621, ENSG00000188229, ENSG00000142945, ENSG00000087586, ENSG00000161800, ENSG00000183137, ENSG00000090889, ENSG00000214367, ENSG00000136108, ENSG00000204843, ENSG00000167553, ENSG00000138182, ENSG00000138160, ENSG00000167552, ENSG00000085433, ENSG00000258947, ENSG00000088325, ENSG00000128944	247	280	20581	8.332388663967611	3.0309088572266774E-14	2.169924636285168E-15	1.9950589146797697E-15
