Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051301~cell division	39	15.725806451612904	3.054809970996894E-24	ENSG00000104147, ENSG00000175063, ENSG00000108106, ENSG00000134057, ENSG00000138758, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000004897, ENSG00000117399, ENSG00000117650, ENSG00000134690, ENSG00000082258, ENSG00000168476, ENSG00000184661, ENSG00000156831, ENSG00000152253, ENSG00000182628, ENSG00000109805, ENSG00000154473, ENSG00000129195, ENSG00000010292, ENSG00000134222, ENSG00000111665, ENSG00000117724, ENSG00000137812, ENSG00000162063, ENSG00000169679, ENSG00000167553, ENSG00000143228, ENSG00000101447, ENSG00000037474, ENSG00000088325, ENSG00000163535, ENSG00000128989, ENSG00000145241, ENSG00000128944, ENSG00000145386, ENSG00000183765	220	350	16792	8.505038961038961	3.439716027342503E-21	3.436661217371506E-21	3.3877842578355554E-21
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	29	11.693548387096774	1.6857106822315596E-18	ENSG00000104147, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000178999, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000168476, ENSG00000184661, ENSG00000156831, ENSG00000152253, ENSG00000182628, ENSG00000129195, ENSG00000066279, ENSG00000111665, ENSG00000117724, ENSG00000137812, ENSG00000058272, ENSG00000162063, ENSG00000169679, ENSG00000143228, ENSG00000011426, ENSG00000101447, ENSG00000037474, ENSG00000088325, ENSG00000128989, ENSG00000145241, ENSG00000145386	220	248	16792	8.925366568914955	1.898110228192736E-15	9.482122587552523E-16	9.347265732973999E-16
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	14	5.64516129032258	8.419106397389228E-10	ENSG00000152253, ENSG00000182628, ENSG00000154473, ENSG00000147099, ENSG00000117724, ENSG00000137812, ENSG00000178999, ENSG00000169679, ENSG00000117399, ENSG00000166851, ENSG00000143228, ENSG00000134690, ENSG00000163535, ENSG00000145241	220	103	16792	10.374580759046777	9.479909455212265E-7	3.1571648990209606E-7	3.112262998234885E-7
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	15	6.048387096774194	3.1287597237411177E-9	ENSG00000198089, ENSG00000134057, ENSG00000072571, ENSG00000170312, ENSG00000158402, ENSG00000157456, ENSG00000058272, ENSG00000117650, ENSG00000101639, ENSG00000166851, ENSG00000143933, ENSG00000088325, ENSG00000128989, ENSG00000188229, ENSG00000183765	220	137	16792	8.357000663570007	3.522977217285117E-6	8.799636723021894E-7	8.674486334072249E-7
GOTERM_MF_DIRECT	GO:0005515~protein binding	159	64.11290322580645	6.442465105328949E-9	ENSG00000075218, ENSG00000175063, ENSG00000104147, ENSG00000110429, ENSG00000090054, ENSG00000178177, ENSG00000128590, ENSG00000049167, ENSG00000120509, ENSG00000111596, ENSG00000134198, ENSG00000154920, ENSG00000198901, ENSG00000004897, ENSG00000119402, ENSG00000083123, ENSG00000086758, ENSG00000170846, ENSG00000167840, ENSG00000160410, ENSG00000164338, ENSG00000149179, ENSG00000221978, ENSG00000107651, ENSG00000012048, ENSG00000131778, ENSG00000196550, ENSG00000198331, ENSG00000154473, ENSG00000204264, ENSG00000117724, ENSG00000131373, ENSG00000152219, ENSG00000170584, ENSG00000157500, ENSG00000150433, ENSG00000148516, ENSG00000143228, ENSG00000138442, ENSG00000168421, ENSG00000163535, ENSG00000164104, ENSG00000181625, ENSG00000183765, ENSG00000144554, ENSG00000162961, ENSG00000104375, ENSG00000075711, ENSG00000205060, ENSG00000198089, ENSG00000109618, ENSG00000147099, ENSG00000131503, ENSG00000131747, ENSG00000134057, ENSG00000197798, ENSG00000112984, ENSG00000157456, ENSG00000170633, ENSG00000135148, ENSG00000178999, ENSG00000064703, ENSG00000204899, ENSG00000147419, ENSG00000134690, ENSG00000117593, ENSG00000100526, ENSG00000082258, ENSG00000103479, ENSG00000161800, ENSG00000134900, ENSG00000179455, ENSG00000175130, ENSG00000134986, ENSG00000132207, ENSG00000115966, ENSG00000010292, ENSG00000111641, ENSG00000005436, ENSG00000134222, ENSG00000072571, ENSG00000001631, ENSG00000058272, ENSG00000155304, ENSG00000162063, ENSG00000058673, ENSG00000166780, ENSG00000101447, ENSG00000107020, ENSG00000179295, ENSG00000013441, ENSG00000196290, ENSG00000124784, ENSG00000213983, ENSG00000024862, ENSG00000067992, ENSG00000172795, ENSG00000138758, ENSG00000135249, ENSG00000196646, ENSG00000158402, ENSG00000101639, ENSG00000117650, ENSG00000029993, ENSG00000278705, ENSG00000182481, ENSG00000084092, ENSG00000090889, ENSG00000124596, ENSG00000152253, ENSG00000092020, ENSG00000102393, ENSG00000178028, ENSG00000182628, ENSG00000096746, ENSG00000147065, ENSG00000114416, ENSG00000067369, ENSG00000111665, ENSG00000170540, ENSG00000137312, ENSG00000170899, ENSG00000169679, ENSG00000083312, ENSG00000088325, ENSG00000156052, ENSG00000146410, ENSG00000137807, ENSG00000135900, ENSG00000137804, ENSG00000076685, ENSG00000170312, ENSG00000021776, ENSG00000139546, ENSG00000117399, ENSG00000113194, ENSG00000187790, ENSG00000166851, ENSG00000143933, ENSG00000101654, ENSG00000108443, ENSG00000156831, ENSG00000109805, ENSG00000129195, ENSG00000066654, ENSG00000137135, ENSG00000137812, ENSG00000133731, ENSG00000130066, ENSG00000198836, ENSG00000151422, ENSG00000158290, ENSG00000167553, ENSG00000083535, ENSG00000085433, ENSG00000169299, ENSG00000128944, ENSG00000145386, ENSG00000148773	224	8785	16881	1.3639721725343523	2.106683881009097E-6	2.1131285545478954E-6	2.1131285545478954E-6
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	11	4.435483870967742	1.7422136481667147E-8	ENSG00000152253, ENSG00000104147, ENSG00000117650, ENSG00000143228, ENSG00000182628, ENSG00000184661, ENSG00000131747, ENSG00000145241, ENSG00000117724, ENSG00000128944, ENSG00000012048	220	68	16792	12.34705882352941	1.9617133464100434E-5	3.919980708375108E-6	3.864229871633774E-6
GOTERM_BP_DIRECT	GO:0000281~mitotic cytokinesis	8	3.225806451612903	7.131434061053911E-8	ENSG00000137807, ENSG00000166851, ENSG00000136108, ENSG00000011426, ENSG00000137804, ENSG00000112984, ENSG00000161800, ENSG00000090889	220	29	16792	21.055799373040752	8.029672648601771E-5	1.3371438864476084E-5	1.3181267289514647E-5
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	16	6.451612903225806	1.1534165163218413E-7	ENSG00000137807, ENSG00000182628, ENSG00000137804, ENSG00000129680, ENSG00000134222, ENSG00000112984, ENSG00000001631, ENSG00000198901, ENSG00000198836, ENSG00000166851, ENSG00000275835, ENSG00000168476, ENSG00000101447, ENSG00000101146, ENSG00000161800, ENSG00000090889	224	208	16881	5.797046703296703	3.7716011005994865E-5	1.8916030867678198E-5	1.8916030867678198E-5
GOTERM_BP_DIRECT	GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process	13	5.241935483870968	7.86951039656991E-7	ENSG00000175063, ENSG00000154473, ENSG00000179454, ENSG00000134057, ENSG00000170312, ENSG00000004897, ENSG00000170633, ENSG00000178999, ENSG00000158290, ENSG00000117399, ENSG00000086758, ENSG00000166851, ENSG00000148634	220	153	16792	6.485323826500297	8.857147422578482E-4	1.2153484159235882E-4	1.1980634606748973E-4
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	10	4.032258064516129	8.642477624345517E-7	ENSG00000117399, ENSG00000175063, ENSG00000166851, ENSG00000108106, ENSG00000154473, ENSG00000204264, ENSG00000134057, ENSG00000170312, ENSG00000004897, ENSG00000178999	220	79	16792	9.66168009205984	9.726700505747754E-4	1.2153484159235882E-4	1.1980634606748973E-4
