cell	label
P2449_N724-S508	J-LatA2+SAHA
P2771_N707-S508	J-LatA2+SAHA
P2458_N701-S513	Jurkat+DMSO
P2449_N720-S510	J-LatA2+SAHA
P2769_N702-S508	J-LatA2+SAHA
P2449_N723-S503	J-LatA2+DMSO
P2770_N701-S513	Jurkat+DMSO
P2449_N721-S508	J-LatA2+SAHA
P2771_N710-S507	J-LatA2+SAHA
P2458_N710-S520	J-LatA2+SAHA
P2770_N701-S518	J-LatA2+SAHA
P2458_N715-S520	J-LatA2+SAHA
P2458_N714-S517	J-LatA2+SAHA
P2458_N711-S513	J-LatA2+DMSO
P2449_N724-S506	J-LatA2+SAHA
P2769_N710-S503	Jurkat+PMA
P2458_N715-S518	J-LatA2+SAHA
P2449_N718-S506	J-LatA2+SAHA
P2769_N711-S510	J-LatA2+PMA
P2771_N706-S511	J-LatA2+PMA
P2770_N711-S522	J-LatA2+PMA
P2458_N710-S513	J-LatA2+DMSO
P2770_N705-S521	J-LatA2+PMA
P2771_N702-S510	J-LatA2+PMA
P2770_N707-S520	J-LatA2+SAHA
P2449_N723-S505	J-LatA2+DMSO
P2770_N704-S520	J-LatA2+SAHA
P2458_N703-S518	J-LatA2+SAHA
P2771_N704-S506	J-LatA2+DMSO
P2769_N701-S505	Jurkat+PMA
P2449_N716-S503	J-LatA2+DMSO
P2770_N711-S520	J-LatA2+SAHA
P2769_N706-S503	Jurkat+SAHA
P2770_N703-S516	Jurkat+PMA
P2458_N702-S521	J-LatA2+SAHA
P2769_N714-S506	J-LatA2+SAHA
P2449_N727-S502	J-LatA2+DMSO
P2458_N712-S522	J-LatA2+SAHA
P2449_N716-S506	J-LatA2+SAHA
P2770_N714-S518	J-LatA2+SAHA
P2769_N714-S507	J-LatA2+SAHA
P2771_N714-S506	J-LatA2+SAHA
P2770_N704-S518	J-LatA2+SAHA
P2458_N706-S518	J-LatA2+SAHA
P2771_N704-S503	Jurkat+SAHA
P2771_N707-S507	J-LatA2+SAHA
P2449_N720-S503	J-LatA2+DMSO
P2771_N714-S510	J-LatA2+PMA
P2769_N701-S510	J-LatA2+PMA
P2770_N705-S520	J-LatA2+SAHA
P2770_N702-S517	J-LatA2+DMSO
P2770_N705-S513	Jurkat+DMSO
P2770_N706-S515	Jurkat+SAHA
P2771_N705-S502	Jurkat+DMSO
P2769_N707-S502	Jurkat+SAHA
P2770_N711-S513	Jurkat+SAHA
P2770_N701-S520	J-LatA2+SAHA
P2458_N712-S518	J-LatA2+SAHA
P2770_N715-S513	Jurkat+SAHA
P2458_N711-S522	J-LatA2+SAHA
P2449_N729-S502	J-LatA2+DMSO
P2769_N701-S508	J-LatA2+SAHA
P2770_N714-S513	Jurkat+SAHA
P2458_N703-S513	Jurkat+DMSO
P2458_N714-S513	J-LatA2+DMSO
P2458_N712-S513	J-LatA2+DMSO
P2771_N706-S503	Jurkat+SAHA
P2769_N706-S511	J-LatA2+PMA
P2458_N711-S516	J-LatA2+DMSO
P2769_N711-S503	Jurkat+PMA
P2449_N722-S508	J-LatA2+SAHA
P2769_N704-S506	J-LatA2+DMSO
P2449_N720-S505	J-LatA2+DMSO
P2769_N705-S511	J-LatA2+PMA
P2458_N710-S518	J-LatA2+SAHA
P2449_N722-S506	J-LatA2+SAHA
P2769_N706-S507	J-LatA2+SAHA
P2458_N705-S522	J-LatA2+SAHA
P2458_N703-S520	J-LatA2+SAHA
P2458_N710-S517	J-LatA2+SAHA
P2771_N715-S503	Jurkat+PMA
P2770_N715-S517	J-LatA2+SAHA
P2458_N707-S518	J-LatA2+SAHA
P2769_N712-S502	Jurkat+SAHA
P2458_N715-S522	J-LatA2+SAHA
P2771_N705-S508	J-LatA2+SAHA
P2458_N710-S522	J-LatA2+SAHA
P2771_N715-S511	J-LatA2+PMA
P2458_N705-S515	J-LatA2+DMSO
P2449_N726-S505	J-LatA2+DMSO
P2770_N706-S517	J-LatA2+DMSO
P2769_N710-S508	J-LatA2+SAHA
P2449_N728-S505	J-LatA2+DMSO
P2449_N720-S502	Jurkat+DMSO
P2458_N711-S517	J-LatA2+SAHA
P2771_N707-S503	Jurkat+PMA
P2769_N706-S508	J-LatA2+SAHA
P2770_N706-S518	J-LatA2+SAHA
P2769_N705-S510	J-LatA2+PMA
